Wiek;Płeć;5 km Czas;Czas
43.0;K;1342.0;5921.0
27.0;M;1393.0;5921.0
42.0;M;1393.0;5921.0
41.0;M;1317.0;5922.0
47.0;M;1303.0;5922.0
27.0;M;1333.0;5923.0
51.0;M;1351.0;5924.0
26.0;M;1374.0;5926.0
33.0;M;1415.0;5926.0
51.0;M;1283.0;5929.0
38.0;M;1364.0;5929.0
45.0;M;1383.0;5929.0
40.0;M;1326.0;5929.0
50.0;M;1311.0;5930.0
56.0;M;1371.0;5931.0
33.0;M;1379.0;5932.0
40.0;M;1330.0;5932.0
32.0;M;1385.0;5933.0
26.0;M;1356.0;5934.0
41.0;M;1385.0;5934.0
41.0;M;1311.0;5935.0
42.0;M;1422.0;5940.0
25.0;M;1387.0;5940.0
44.0;M;1327.0;5940.0
31.0;M;1338.0;5941.0
50.0;M;1362.0;5942.0
31.0;M;1336.0;5942.0
24.0;M;1322.0;5943.0
34.0;K;1286.0;5943.0
44.0;M;1398.0;5943.0
38.0;M;1438.0;5944.0
44.0;M;1378.0;5946.0
40.0;M;1522.0;5946.0
62.0;M;1396.0;5946.0
37.0;M;1325.0;5947.0
60.0;M;1361.0;5947.0
20.0;M;1353.0;5947.0
38.0;M;1334.0;5947.0
28.0;K;1416.0;5947.0
33.0;M;1397.0;5948.0
35.0;M;1388.0;5949.0
19.0;M;1367.0;5950.0
46.0;M;1324.0;5951.0
43.0;M;1350.0;5951.0
38.0;M;1369.0;5952.0
28.0;K;1336.0;5953.0
39.0;M;1382.0;5955.0
43.0;M;1353.0;5955.0
35.0;M;1355.0;5956.0
30.0;M;1318.0;5956.0
44.0;M;1395.0;5957.0
47.0;M;1394.0;5959.0
53.0;M;1383.0;5960.0
39.0;M;1323.0;5960.0
38.0;K;1373.0;5961.0
37.0;M;1340.0;5961.0
36.0;M;1373.0;5962.0
39.0;M;1334.0;5962.0
39.0;M;1344.0;5964.0
30.0;M;1339.0;5964.0
38.0;M;1377.0;5964.0
